metric,qiz_on,qiz_off
welfare,0.5492061165008351,0.5491456800428073
price_index,1.82081002005461,1.8210104100646798
entry_mass_QT,0.018052721987100548,0.01871471602205205
entry_mass_QO,0.15332904949270326,0.1533290374636209
active_share_QT,0.09999999999999991,0.09999999999999991
active_share_QO,0.3500000000000009,0.3500000000000009
US_export_share_QT,0.13286842422673764,0.10000000000000009
RW_export_share_QT,0.13286842422673764,0.10000000000000009
US_export_share_QO,0.0,0.0
RW_export_share_QO,0.11428571428571395,0.11428571428571395
compliance_share_US_exporters_QT,0.3161566864831135,0.0
upgrade_share_active_QT,0.13286842422673764,0.10000000000000009
Q_US_total,0.038072597929380135,0.03197861078628112
Q_RW_total,0.45723911170115616,0.4502259679043415
Q_US_T,0.038072597929380135,0.03197861078628112
Q_RW_T,0.09887571760705663,0.09186256838759456
Q_US_O,0.0,0.0
Q_RW_O,0.3583633940940995,0.35836339951674695
US_exporters_total,0.00023986367234294276,0.0001871471602205205
RW_exporters_total,0.006373025652051071,0.006320308658765354
