metric,on_value,off_value,pct_change_on_vs_off
Q Textile Exports to US,3.4608415332163274,0.0003909410793980075,885159.113354248
Q Textile Exports to Non-US,5.912328766456762,0.0013891470962473877,425508.5465987151
Complier Same-Type US Exports (% change),,,318.3986660436164
Complier Same-Type Non-US Exports (% change),,,101.15471896012683
"Complier Share Among Active Q,T",0.3333333333333333,0.0,
