Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,14,Other mining and quarrying,14,1.9914E8,M,1937535.58,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,15,Food and beverages,15,8.43051E8,M,8202477.2,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,16,Tobacco products,16,4.6352E7,M,450982.47,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,17,Textiles,17B,1.711661E9,M,1.665363106E7,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,19,"Leather, leather products and footwear",19,1.588871E9,M,1.545894394E7,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,20,Wood products (excl. furniture),20,1.30017E8,M,1265002.33,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,21,Paper and paper products,21A,3.92965E8,M,3823358.79,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,23,"Coke,refined petroleum products,nuclear fuel",23,1.181509E9,M,1.149550932E7,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,24,Chemicals and chemical products,24A,2.56694E8,M,2497508.08,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,26,Non-metallic mineral products,26,9.73216E8,M,9468919.49,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,27,Basic metals,27C,1.377345E9,M,1.340089859E7,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,30,"Office, accounting and computing machinery",30C,2.60682E8,M,2536309.38,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,36,Furniture; manufacturing n.e.c.,36,2.42437E8,M,2358794.38,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,40,"Electricity, gas, steam and hot water supply",40,2.970694E9,M,2.890341129E7,
2004,Albania,008,Wages and salaries,05,05,Wages and salaries paid to employees,41,"Water collection, purification, distribution",41,1.21897E9,M,1.185998668E7,
2004,Albania,008,Output,14,11,Output at basic prices,11,"Extraction of crude oil and natural gas, etc.",11,5.995762E9,M,5.833585522E7,
2004,Albania,008,Output,14,11,Output at basic prices,13,Mining of metal ores,13,6.52909E8,M,6352487.79,
2004,Albania,008,Output,14,11,Output at basic prices,14,Other mining and quarrying,14,2.229842E9,M,2.169528078E7,
2004,Albania,008,Output,14,11,Output at basic prices,15,Food and beverages,15,1.7503326E10,M,1.7029886968E8,
2004,Albania,008,Output,14,11,Output at basic prices,16,Tobacco products,16,2.64774E8,M,2576122.56,
2004,Albania,008,Output,14,11,Output at basic prices,17,Textiles,17B,6.360203E9,M,6.188168933E7,
2004,Albania,008,Output,14,11,Output at basic prices,19,"Leather, leather products and footwear",19,6.33192E9,M,6.160650947E7,
2004,Albania,008,Output,14,11,Output at basic prices,20,Wood products (excl. furniture),20,2.083457E9,M,2.027102575E7,
2004,Albania,008,Output,14,11,Output at basic prices,21,Paper and paper products,21A,4.038551E9,M,3.92931418E7,
