metric,qiz_on,qiz_off
welfare,0.4878087325088696,0.4873823006882458
price_index,2.0499838017594683,2.051777421108384
entry_mass_QT,0.22530704393707293,0.22401385131385212
active_share_QT,0.23000000000000023,0.23000000000000023
domestic_only_share_QT,0.9130434782608693,0.9130434782608693
US_export_share_QT,0.043478260869565175,0.043478260869565175
RW_export_share_QT,0.08695652173913035,0.08695652173913035
compliance_share_US_exporters_QT,0.3286842422673752,0.0
US_exports,0.3599914653354874,0.3052430723830281
RW_exports,1.2228738199426046,1.2219310667636216
US_exporters,0.0022530704393707293,0.0022401385131385213
RW_exporters,0.0045061408787414586,0.0044802770262770426
avg_US_rev_per_exporter,159.7781671823945,136.2608028890904
avg_RW_rev_per_exporter,271.3794026528853,272.73560532014795
