case,mfn_incumbency_T,sigma_C_T,fC_T,upgrade_psi_T,upgrade_psi_comp_T,upgrade_cost_quad_T,upgrade_cost_comp_mult_T,loss,T_comp_US,T_comp_active,T_MFN_US_active,T_US_active,T_RW_active,O_comp_US,T_upgrade_intensity_off_active,T_upgrade_intensity_on_active,T_upgrade_intensity_change,comp_avg_upgrade_intensity,noncomp_avg_upgrade_intensity,upgrade_intensity_gap_comp_noncomp,comp_rw_pct,T_sector_RW_pct,comp_us_pct,welfare_pct
reformed_upgrade_mfn_margin,1.5,1.2,20.0,0.03,0.02,2.0,1.0,3.557414132129831,0.4492326644527911,0.038070168385027726,0.046674711935286654,0.08474488032031438,0.11111111111111112,0.0,0.5682776330300411,0.6212653516833563,0.0529877186533152,2.0,0.566699354773203,1.433300645226797,25.608532543234404,7.52951462811946,500.0,0.30947173152311436
reformed_upgrade_mfn_margin,1.5,1.2,20.0,0.03,0.05,2.0,1.0,30.43736483902619,0.760357427283761,0.0724909490728025,0.022847041287551148,0.09533799036035365,0.12499999999999997,0.0,0.5682776330300411,0.6364235206437754,0.0681458876137343,2.0,0.5298510262588746,1.4701489737411255,76.82670514337352,26.631005975640253,500.0,0.6506475402331402
reformed_upgrade_mfn_margin,1.5,1.2,40.0,0.03,0.02,2.0,1.0,40.53849256054183,0.0,0.0,0.051146057256778454,0.051146057256778454,0.10000000000000002,0.0,0.5682776330300411,0.5682776330300411,0.0,0.0,0.5682776330300411,-0.5682776330300411,,-0.0388759837616548,,0.29085851347574465
reformed_upgrade_mfn_margin,1.5,1.2,40.0,0.03,0.05,2.0,1.0,3.135352479158835,0.4492326644527911,0.038070168385027726,0.046674711935286654,0.08474488032031438,0.11111111111111112,0.0,0.5682776330300411,0.5657097961278005,-0.0025678369022406056,2.0,0.5089450844203602,1.4910549155796398,76.82670514337362,16.130048251743624,500.0,0.3830716960493419
reformed_upgrade_mfn_margin,1.5,1.2,80.0,0.03,0.02,2.0,1.0,40.53849256054183,0.0,0.0,0.051146057256778454,0.051146057256778454,0.10000000000000002,0.0,0.5682776330300411,0.5682776330300411,0.0,0.0,0.5682776330300411,-0.5682776330300411,,-0.0388759837616548,,0.29085851347574465
reformed_upgrade_mfn_margin,1.5,1.2,80.0,0.03,0.05,2.0,1.0,2.8170354401300037,0.4492326644527911,0.038070168385027726,0.046674711935286654,0.08474488032031438,0.11111111111111112,0.0,0.5682776330300411,0.6212653516833563,0.0529877186533152,2.0,0.566699354773203,1.433300645226797,76.82670514337342,15.40340376076632,500.0,0.43232600593712256
reformed_upgrade_mfn_margin,1.5,1.2,20.0,0.03,0.02,4.0,1.0,3.8125719958975406,0.4492326644527911,0.034263151546524956,0.04200724074175799,0.07627039228828295,0.10000000000000002,0.0,0.3045694082575102,0.3045694082575102,0.0,2.0,0.24441762322982535,1.7555823767701746,25.608532543234478,4.468895005127282,500.0,0.21372087387412364
reformed_upgrade_mfn_margin,1.5,1.2,20.0,0.03,0.05,4.0,1.0,30.4425227027939,0.760357427283761,0.0724909490728025,0.022847041287551148,0.09533799036035365,0.12499999999999997,0.0,0.3045694082575102,0.38071176032188764,0.07614235206437742,2.0,0.25415370549821803,1.7458462945017819,76.82670514337356,25.667865345569307,500.0,0.467435207571687
reformed_upgrade_mfn_margin,1.5,1.2,40.0,0.03,0.02,4.0,1.0,27.96801234424515,0.0,0.0,0.042007240741758,0.042007240741758,0.10000000000000002,0.0,0.3045694082575102,0.3045694082575102,0.0,0.0,0.3045694082575102,-0.3045694082575102,,0.01567501066532806,,0.17601530800417375
reformed_upgrade_mfn_margin,1.5,1.2,40.0,0.03,0.05,4.0,1.0,2.8221933038977136,0.4492326644527911,0.038070168385027726,0.046674711935286654,0.08474488032031438,0.11111111111111112,0.0,0.3045694082575102,0.33841045361945576,0.03384104536194554,2.0,0.27264994621185434,1.7273500537881457,76.82670514337354,15.372164312544601,500.0,0.27208404232554884
reformed_upgrade_mfn_margin,1.5,1.2,80.0,0.03,0.02,4.0,1.0,27.96801234424515,0.0,0.0,0.042007240741758,0.042007240741758,0.10000000000000002,0.0,0.3045694082575102,0.3045694082575102,0.0,0.0,0.3045694082575102,-0.3045694082575102,,0.01567501066532806,,0.17601530800417375
reformed_upgrade_mfn_margin,1.5,1.2,80.0,0.03,0.05,4.0,1.0,2.822193303897715,0.4492326644527911,0.038070168385027726,0.046674711935286654,0.08474488032031438,0.11111111111111112,0.0,0.3045694082575102,0.33841045361945576,0.03384104536194554,2.0,0.27264994621185434,1.7273500537881457,76.8267051433734,14.992527138333521,500.0,0.27765031667172924
reformed_upgrade_mfn_margin,2.0,1.2,20.0,0.03,0.02,2.0,1.0,1.1357426051605106,0.3426315154652495,0.038070168385027726,0.07304094272608339,0.11111111111111112,0.11111111111111112,0.0,0.5920072407417581,0.6476315824741529,0.05562434173239472,2.0,0.5941090783561911,1.405890921643809,25.608532543234368,6.297113775177854,500.0,0.13540867977337445
reformed_upgrade_mfn_margin,2.0,1.2,20.0,0.03,0.05,2.0,1.0,10.863430995096286,0.5799275925824202,0.0724909490728025,0.05250905092719747,0.12499999999999997,0.12499999999999997,0.0,0.5920072407417581,0.6035855302834217,0.011578289541663511,2.0,0.49444653039166264,1.5055534696083375,76.82670514337343,25.46322578938147,500.0,0.325448737090972
reformed_upgrade_mfn_margin,2.0,1.2,40.0,0.03,0.02,2.0,1.0,45.36054740053953,0.0,0.0,0.07304094272608339,0.07304094272608339,0.11111111111111112,0.0,0.5920072407417581,0.6476315824741529,0.05562434173239472,0.0,0.6476315824741529,-0.6476315824741529,,0.17286749358929043,,0.10972530466391017
reformed_upgrade_mfn_margin,2.0,1.2,40.0,0.03,0.05,2.0,1.0,0.39536391316068265,0.3426315154652495,0.04282893943315618,0.08217106056684378,0.12499999999999997,0.12499999999999997,0.0,0.5920072407417581,0.6660855302834218,0.07407828954166362,2.0,0.606399080926429,1.393600919073571,76.82670514337337,16.25823324287843,500.0,0.19859653482314776
reformed_upgrade_mfn_margin,2.0,1.2,80.0,0.03,0.02,2.0,1.0,45.36054740053953,0.0,0.0,0.07304094272608339,0.07304094272608339,0.11111111111111112,0.0,0.5920072407417581,0.6476315824741529,0.05562434173239472,0.0,0.6476315824741529,-0.6476315824741529,,0.17286749358929043,,0.10972530466391017
reformed_upgrade_mfn_margin,2.0,1.2,80.0,0.03,0.05,2.0,1.0,0.395363913160682,0.3426315154652495,0.038070168385027726,0.07304094272608339,0.11111111111111112,0.11111111111111112,0.0,0.5920072407417581,0.6476315824741529,0.05562434173239472,2.0,0.5941090783561911,1.405890921643809,76.82670514337346,18.879757303757792,500.0,0.14807966582113252
reformed_upgrade_mfn_margin,2.0,1.2,20.0,0.03,0.02,4.0,1.0,1.0866853362155229,0.3426315154652495,0.038070168385027726,0.07304094272608339,0.11111111111111112,0.11111111111111112,0.0,0.3164342121133688,0.35159356901485417,0.03515935690148536,2.0,0.28635480800334834,1.7136451919966516,25.608532543234315,5.8130003799951036,500.0,0.08651214339063795
reformed_upgrade_mfn_margin,2.0,1.2,20.0,0.03,0.05,4.0,1.0,10.770045471748764,0.5799275925824202,0.0724909490728025,0.05250905092719747,0.12499999999999997,0.12499999999999997,0.0,0.3164342121133688,0.39554276514171083,0.07910855302834202,2.0,0.2701438511523193,1.7298561488476807,76.8267051433734,25.773331932823606,500.0,0.2574917360808282
reformed_upgrade_mfn_margin,2.0,1.2,40.0,0.03,0.02,4.0,1.0,28.431078739588948,0.0,0.0,0.06573684845347506,0.06573684845347506,0.10000000000000002,0.0,0.3164342121133688,0.3164342121133688,0.0,0.0,0.3164342121133688,-0.3164342121133688,,0.006651435337179379,,0.05576647798655188
reformed_upgrade_mfn_margin,2.0,1.2,40.0,0.03,0.05,4.0,1.0,0.346306644215694,0.3426315154652495,0.038070168385027726,0.07304094272608339,0.11111111111111112,0.11111111111111112,0.0,0.3164342121133688,0.35159356901485417,0.03515935690148536,2.0,0.28635480800334834,1.7136451919966516,76.82670514337337,15.366244214047931,500.0,0.1557454984643103
reformed_upgrade_mfn_margin,2.0,1.2,80.0,0.03,0.02,4.0,1.0,28.431078739588948,0.0,0.0,0.06573684845347506,0.06573684845347506,0.10000000000000002,0.0,0.3164342121133688,0.3164342121133688,0.0,0.0,0.3164342121133688,-0.3164342121133688,,0.006651435337179379,,0.05576647798655188
reformed_upgrade_mfn_margin,2.0,1.2,80.0,0.03,0.05,4.0,1.0,0.3463066442156921,0.3426315154652495,0.038070168385027726,0.07304094272608339,0.11111111111111112,0.11111111111111112,0.0,0.3164342121133688,0.35159356901485417,0.03515935690148536,2.0,0.28635480800334834,1.7136451919966516,76.82670514337362,14.99461401316271,500.0,0.12246448149864086
